tweet,sentiment_label
b'RT @BrianScifiFan: Donald Trump \'fine\' with UK protests ahead of visit.  saying Britons "like me a lot" \xf0\x9f\x99\x84 https://t.co/agncA58mVm',Positive
b'RT @Bonn1eGreer: All the stuff Trump has done-and folks are crying about a balloon!\n#ThursdayThoughts\n#TrumpUKVisit\nhttps://t.co/NdACYVBybm',Negative
b"RT @pr0udwhite: #Trump diplomacy works, NATO allies 'agree to increase spending'\nhttps://t.co/czxpibkt3k",Negative
b"RT: @reuters :Trump not sure if Britain's Brexit approach is what the people voted for https://t.co/DYcG77IvLZ",Negative
b'@NstyWmnWendy @washingtonpost They agreed but did not pay up, that is the problem here, and Obama never called them\xe2\x80\xa6 https://t.co/6onQE8QeLp',Negative
b"RT @bbclaurak: Trump on the UK \xe2\x80\x9c I\xe2\x80\x99m going to pretty hot spot right now , with a lot of resignations\xe2\x80\xa6\xe2\x80\x9d goes on (helpfully on May's EU plan)\xe2\x80\xa6",Positive
b'.@OliverKamm: Donald Trump is morally and intellectually unfit for public office https://t.co/Qyzq8tXpDv',Positive
b'RT @ananavarro: Trump tells NATO, Germany is controlled by Russia because that\xe2\x80\x99s from where Germany gets its oil.\nOk, well, by that logic..\xe2\x80\xa6',Positive
b'RT @thehill: Russian mining firm puts "Trump Seal of Approval" on asbestos products: https://t.co/nOLCzG8FXz https://t.co/YzzP6yoeLE',Negative
b'RT @ZephyrTeachout: Today we asked Governor Cuomo to make a criminal referral that would allow Attorney General Barbara Underwood to pursue\xe2\x80\xa6',Negative
b'RT @Aziadonis: Twitter m\xe2\x80\x99avait suspendu car j\xe2\x80\x99avais insult\xc3\xa9 Donald Trump, maintenant je me suis assagi je repasse tranquillement mon linge\xe2\x80\xa6',Negative
b'RT @AP: BREAKING: French President Macron denies Trump claim that NATO powers agreed to increase defense spending beyond previous targets.',Negative
b'RT @HardballChris: Trump embarrasses us on the world stage. The only beneficiary of his havoc is Vladimir Putin. https://t.co/jHg9vhXwZ3',Negative
b'RT @E_Hunyadi: Wie kan #Verhofstadt stoppen met zijn ontspoorde twts? Please\xf0\x9f\x98\xa3 "So this is what Trump was looking for. Mystery solved!" Mr.\xe2\x80\xa6',Negative
b'RT @JohnWDean: This shameless man is beyond being an embarrassment. If his base finds his conduct acceptable they should go find another co\xe2\x80\xa6',Negative
